HP1BP3	OR1Q1
MYADM	TCAP
CHSY3	PHLDB1
PAX8	MYO1A
GDF10	MTPAP
NR2F6	RBM17
NKTR	TOR4A
GIGYF1	EPS8L1
CBFA2T3	GPR142
KPNA5	GNA11
HORMAD1	C2orf69
BCL9L	SNX1
AKR7A2	CCNI
FBN1	NTSR1
G3BP1	NOBOX
DNPEP	OR10S1
WDR31	ZNF813
TXNDC3	CREBRF
KRTAP19-3	EIF5A
ZNF654	MEGF10
GPATCH11	PAIP2B
HFE	POLR3C
PLCL1	ST13
RPL26L1	GLRX
VTCN1	TM2D2
RASGRP3	ANO1
ATP5G3	MIR296
ABRA	ZNF221
VAT1	OTOP2
SHISA6	EIF2C3
EFNA3	DNAJC17
ORMDL2	CCDC38
MED22	LRCH2
COG7	NICN1
GOLGA8M	ATF7
C16orf78	GADD45A
DTYMK	ZNF235
CYP11B1	RAB4A
SGTB	EPHA1
KRT6A	CDH1
NDRG3	MALL
C10orf82	SRGAP2C
TBC1D14	ADCK3
SPZ1	NT3
ZNF235	BCRP3
TRIM56	KIF5A
ZNF70	C9orf114
SPG36	TRAJ56
TMEM132D	SHISA6
EIF2B3	OCRL
ANKRD11	RFPL4A
STAU1	TRAPPC8
ARL6IP5	CCBL2
NKX2-8	VSIG8
PROC	TRAJ30
DNAH14	HLA-H
DUXA	SIGLEC10
XIC	EXOC5
ZC3HAV1	RHOXF1
KRTAP26-1	BTK
PIAS2	TNF
ATP5S	UQCRC1
TUBA1	ADCK5
SLC6A1	NUCB1
PCDH15	RLN2
HEG1	SHROOM1
TSHR	TAGLN
SDE2	LRCH2
MS4A1	CHCHD2
EIF5A2	TMEM101
C9	KHDRBS1
SF3B2	TMEM194A
FYTTD1	PTH
UBE2C	C17orf85
C19orf52	UBE3D
TAP2	ADARB1
PIWIL3	PABPC1L
TMEM174	WWP1
SNX32	TAX1BP1
PLEKHG4	ZNF18
TMEM53	NSMCE1
H2BFS	ZNF180
ZNF747	OXR1
CCDC90B	TRAJ22
NPW	GRM7
C9orf156	CHD9
KIF7	MIR1236
RNASEH2B	SYF2
TIAF1	OR6M1
HMGN1	CKM
SNORD70	TUBA1
PRDX3	SERPINB7
KLHL31	TPM1
KIAA1468	ACIN1
PCYT1B	TRNAN2
USP2	RBM43
JADE3	LTA
BMP8B	SGTA
H6PD	FYTTD1
PAG1	DMRT1
DCTN3	PIAS4
GPS1	SNTA1
STX19	DDX5
RIOK1	GUK1
MRFAP1L1	OR1B1
PRKACB	PALD1
ERVFRD-1	ABCA4
SAA4	OR2M7
ADAM32	FBXO8
TMBIM1	LINC00603
ID1	CCDC101
LACTB	LINC00601
SNX4	TYW1
RAB44	HIST1H2BK
ZNF266	TRHDE
PTPRK	ASIC2
ZNF280D	SFSWAP
LARP4B	ROPN1
SIRT7	CALHM1
PDLIM3	C10orf62
URB1	FAM124A
SKP2	POLR2D
CTNNAL1	SGCG
SPRY1	KIR2DS4
ZAN	SP100
KCTD12	SAP130
HIST1H4H	PSIP1
PKD2L1	OR11L1
SLAMF1	FKBP15
CAPS2	INSL5
SLC25A40	PRKG1
IDDM12	HMCN1
GCGR	C2CD2
LINC00887	SH3BGRL
ZNF462	USF2
TBC1D7	SPG34
OR4S2	CLTCL1
PRR11	SNORA27
CIART	LINC00347
NANOS1	CNTNAP5
CAPN7	ASAH1
PCNAAS	ABHD8
SHPK	TBC1D10A
LGALS7B	SMNDC1
FGFR3	ZNF808
RHOQ	ABCA13
ZNF197	CCNA2
CD109	SLC25A42
PHB2	CBWD3
HOXA13	REXO1
SNORD9	FAM21B
PHKG2	FANK1
FLYWCH2	VGLL4
MRX7	CRADD
ALG1L	HINFP
GDF3	LOC390956
U2AF1	VKORC1
SP2	TMTC3
ABHD13	PPARGC1A
TCP11L2	CENPT
PRR21	PSEN2
ADAMTS13	SUPT20H
COL6A2	NFIL3
TMEM208	CYP2S1
LINC00540	DNAJB6
TMEM177	MRPL34
ZNF214	KRTAP13-1
CCDC185	OR4K15
PKD1L3	ARID5B
CTNNA2	MEF2A
LINC00260	ANKS1A
MRX66	MSRA
EIF5A2	RP29
SLC25A21	MUC2
TRAJ30	TRANK1
HCCAT3	SNRPE
NFASC	APOL1
TMEM105	SURF1
FAM3B	DRC1
TMEM128	GYPC
TMED2	TLR9
KRT6B	ALG10B
TNFRSF1A	PWP2
TGM3	AGPAT3
MAPK8IP3	ETV4
TMEM56	NKX2-1
SMPDL3A	PSMD10
NLRC3	AARSD1
ZNF99	VCAN
TOMM22	DCUN1D2
LINC00629	MMP1
ZNF580	VWA5B2
LINC00112	PHBP3
ADAM21	NXPH2
MSK38	BGN
RNF150	ZNF25
ITPR1	SLIRP
C3orf20	TOPBP1
MAP3K8	AIMP2
FBRS	CSTB
KLHL26	TMEM155
RPA4	GPR64
OVOL1	PSMD6
ANAPC2	FAM60A
LINC00327	FAT1
TNFRSF1B	IFT22
OR4C11	ANAPC13
ZBTB8A	RUFY1
EXOC6	CALML6
NINL	CCL25
KIAA1239	CP
FBXW4	NTRK1
LLGL1	PRDM12
IDUA	MLL
LINC00398	AKAP8
MIR558	ANKRD55
SPATA31E1	TMEM9
STON2	LINC00550
AFD1	LINC00106
PREX2	C16orf74
OR51T1	SYCP2L
CLEC4F	CYP2F1
HDAC6	MAPKBP1
NOTCH3	CABP2
ABCA6	MARCH1
TLR8	LILRA5
C16orf54	LINC01049
CXCL12	P2RY12
PTGIR	GOLGA6L3
HLCS	MEIS2
SSTR2	SNORD117
OC90	ZBED1
GZF1	LINC00029
MOB3C	NPHS1
PLA2G7	PSMB11
CUX1	LIMS2
CCDC175	PPIAL4D
CLEC4F	WDR92
TMEM41A	LINC00943
COG8	TMEM170A
AMHR2	MYLKP1
CHCHD4	ARHGAP6
RD3L	EVPL
GPR158	EPB41L5
MIR200B	TRAJ60
ZNF280A	HSD11B2
COLGALT2	TMEM50A
INPPL1	EIF3I
KLHL32	SPRR3
DYT22	SLC26A1
CTXN3	BRAP
OR5AU1	MRPL30
MGAT3	MAGEA12
TBP	HAND2
NFU1	CRISP2
FAR2	MORC2
RAX2	RERG
GRK7	LOC100653071
ATP6V1G2-DDX39B	MBNL3
NQO2	CYP4V2
CAPN8	UBXN4
RRP1	ANE1
IDDM10	ZKSCAN8
F8A1	KCNIP2
KCNJ13	EPHA6
AGTRAP	ESR1
H1FX	FAM213B
DGKE	DSCR10
KCNIP2	MSRB1
LINC00226	LINC01055
KIF1C	FIZ1
TAC1	TAS2R43
KRTAP21-3	ALPP
HLA-DMB	NMBR
ZNF329	SOX18
OPA2	GFPT2
PALM2	SYT12
PLA2G12A	MTUS2
ZC3HAV1	KIF27
DNTTIP1	SNAPC5
UNC5CL	TDO2
FKBP11	CRHR2
ATP6V0B	RGS18
POLR1E	UBAP2L
KANK4	S100A7
TBCEL	LINC01039
FAT2	OPRM1
CDT1	RABL2B
NAPA	LINC00456
LINC00951	MT1H
FANCA	TMEM31
DLG5	KLHL41
IGFL2	CASC3
EXOSC2	ZFAND2A
CAPN2	MTMR2
DNAH3	POM121B
MRX82	IGHE
OR10C1	MIS12
AZIN1	ROBLD3
MOCS3	LINC00908
C14orf1	MCM3AP
MAEL	LRP11
SIL1	LINC00437
RPS24	HSPA1B
SIM2	EPHA5
MAPK8IP1	IFNA6
DLX2	TNFRSF10C
C16orf45	RAET1L
PARK16	LINC01068
PRDM11	C1QL1
MLL5	CXCR2
SPATA8	GPR132
NAA60	PDZD9
HYDIN	CCDC70
ZNF207	HEY2
PNMA1	KPNA7
FKBP1A	GUK2
ATP8B4	SPOP
KIR2DL5A	COL4A1
NCEH1	ZNF704
BSN	DEFB118
RSPO4	CTDSPL2
MIR4329	KCNV2
ROR1	NFKB1
KIAA1147	NKAPL
AGAP3	LINC00977
TMEM194B	LINC00370
S1PR4	BRD9
KRTAP5-4	LILRA1
APLNR	ZNF506
ACP6	ZNF503
ADCY7	FXYD6
ZSCAN22	HIST1H3D
GBP1	KRTAP5-6
MST1R	AP2A1
NUP54	COL24A1
HSD11B2	ERN1
ZNF443	ARHGAP42
XPO6	ZNF784
WHSC1	KATNAL1
TIAF1	C18orf25
LINC00235	CNTN3
RBM18	CDK15
IGSF5	TNS4
LINC00845	MXD4
MCCC1	GDI2
NCF1C	COMMD1
KIAA1430	THRB
PCDH1	ENDOG
SARNP	SMARCAD1
UBALD1	IFITM5
ZNF587B	BEST1
BUB1	SOX21
LINC00301	MESDC2
FAM129B	ARPC1A
RBM22	HLA-DMA
RBM16	FAM60A
FBXL6	BEST1
TSPAN17	DYT22
TRABD2A	LAPTM5
AKAP14	ZC3HC1
MRX64	C20orf195
SHOC2	GPR132
SGOL2	CD83
GLUL	TAL2
B3GALNT2	CEND1
RGPD6	RASA2
SYCP2L	OPRK1
EPB42	CIB1
SRPK3	CAMK2G
KLK12	KLK13
RPL24	TBL3
NOC3L	CSDA
OR13C4	PHYHIPL
RPS8	ZNF75A
HDDC2	AKR1E2
CTAGE15	EPB41L2
ZCWPW2	ATRX
MICALL1	DDIT3
COL26A1	GNGT1
PGBD3	PCDH8
PCYT2	CDC37
STAC3	RNF165
IGFBP7	TNFRSF21
HMCES	PPAN
OPA1	OR52M1
TM4SF1	ACKR2
TRIM26	AADAT
RIPK1	PRKRIP1
HP1BP3	KRTAP23-1
TNKS1BP1	MXD3
TMEM236	POTEI
RNF14	FGF17
NCR3LG1	RABGGTA
SIAH1P1	PDCD10
UBQLN3	BLOC1S3
LINC01046	PIAS4
EGR1	LINC00850
GRM7	BARHL2
MRC1	KRTAP2-1
ARHGAP21	SYNPO2L
STK36	OR2T8
ZKSCAN1	ITIH4
UBB	TBC1D21
MED26	FN3K
SEMA7A	ARHGEF25
TELO2	ARMCX3
MAPKBP1	CSNK1A1
PMP22	MEP1A
FRMD7	PCDH9
DESI2	DRAP1
HRH4	KIF18B
MAGEA1	CCDC88A
P2RX1	ZFHX3
DCAF8L2	LEMD2
CAND2	SYNE1
SLC13A2	DHRS3
DPEP2	FASTKD2
SLC39A6	PLCL2
OGFOD3	DLK2
AKIRIN2	MAPK8IP2
NT5C2	POLR2F
OR4D5	GINS2
TMEM63A	WBP5
UFC1	CNKSR3
SLC30A5	ERBB3
NPFFR1	HIST1H4J
GNAS	NOBOX
HCLS1	IGFLR1
CLEC4D	LYL1
SLC7A11	PPM1F
SIVA1	VMAC
SEPSECS	ALDH1A2
OCEL1	VGLL3
NECAP2	MS4A1
EGF	BANP
GNB3	ABCC6
PCDH11X	CCDC160
DHX29	PAX9
CYP2W1	IL34
EVX2	DCXR
PRMT7	ZNF112
FERMT1	ROS1
PRDX1	HMMR
RORC	LINC00604
C1orf228	LINC00352
ECH1	ZNF556
SLC22A9	ANO2
LINC00987	AGAP7
TMEM5	MCF2L
SGTA	TCHH
OR2V1	ZGPAT
OTC	TEK
CBX6	ACACB
CAST	HTL
TMEM184B	RAB12
SNORD92	EEF1A1P6
LEPROTL1	XAGE3
CAPS2	MPDU1
MT1E	DNAJC22
RSBN1L	PMM2
ACOX2	CCDC109B
NRG4	TMEM88
FBXO8	GK
TXNDC3	AMBN
AMELX	ZNF683
LINC00489	LRP12
CTSK	USP10
POSTN	EPHA5
CBLN3	CHN2
PRCP	ALG13
XPO6	CD4
LINC00842	IL1RL1
SLC16A1	HNRNPL
AATF	NECAP2
SNX1	UFD1L
RSF1	LINC00894
CBX6	LSMD1
PTGER3	KLF5
FIGF	HIST1H2AG
CIRH1A	RAB11FIP3
REEP5	ZDHHC20
SNORD29	DYT13
CCDC83	MIR338
CMTM5	PRKCB
DIMT1	FAM213B
ADAM32	PECAM1
VPREB3	MED13L
NEUROD2	EHMT1
MAFA	PDCD2L
SWSAP1	ADRA1B
RTN2	MGARP
RFX6	SETBP1
LGALSL	NMRK2
NUDT13	MASP1
SCNN1G	SP9
SMIM17	P2RY6
ANKRD36	TRPV2
MYO1H	CTNND1
BCL2	EIF1AY
MAGEA6	ZMAT3
CREB3	TMEM81
RPL18	ACKR2
WDR24	TARP
TMEM241	RMDN2
USP12P1	MYRIP
ATF1	UFM1
LINC00427	PPP2R3B
TSC1	GPAA1
DEFB119	POLR2D
DKK3	NFKBIE
MAP3K1	ZRANB2
TRAJ15	OR4M1
PAK1	DNPEP
MEPCE	TMEM158
STARD5	GSTK1
PDLIM2	OTUB2
TNFRSF11B	PF4V1
SIK2	GAGE5
CLEC1A	PGBD5
DBT	LRP4
CYP4F11	GP9
UTRN	RBM16
GINM1	ARHGEF25
NKX2-3	SPATA7
LRRC57	POMP
PLEKHH3	TRAJ26
COPS3	PI4K2A
PROK1	SESN3
ST3GAL2	DLGAP5
CHI3L2	RXRB
CCDC9	ZNF415
METTL4	CHRFAM7A
FAM131C	CCL14
HOMER3	TPST2
GTF2F1	GJA5
DUSP9	EGR4
GPR64	PTPLB
LINC00328	SPIC
STXBP2	CSF3
TAB1	CIITA
BEND6	THAP2
AFP	IFNA8
SGSM2	SIGLEC6
FOXO4	EFHC1
LINC00894	ZNF79
LOC646670	STXBP2
MIR135B	ETNK2
FCN2	RPL13A
CCDC126	ZNF117
SHB	AIM1L
VAMP7	BCAS3
RLBP1	ABCB8
LRTOMT	LINC00838
TSFM	YKT6
AOC2	NF1L4
ZKSCAN1	ANK1
DYSF	TF
LINC00617	DCDC2
RPL10	POLE3
TYROBP	TBL1XR1
HEBP2	CPED1
C19orf54	NSRP1
SMG5	STAP2
LINC00595	LINC00654
GPSM2	BTBD8
GZMH	CCDC150
DNPEP	GPC1
AGPAT2	LINC00489
TOMM5	HNRNPR
ZBTB14	PABPN1
LINC00959	SLC16A4
CCDC19	METTL21B
NDUFAF4	EGR4
HECTD2	PIGG
FUCA1	CCDC141
NAPEPLD	LINC00336
CEACAM1	TRAJ3
RANBP9	TNFRSF1B
MIER1	GMPR2
MAD2L1BP	MDM4
SLBP	FGFBP3
C7orf34	KCNK2
PARVG	CCBL1
SEMA4F	EBR4
IL17RC	BCL2L15
KIR3DL3	C15orf38-AP3S2
MAP4K5	TRAJ48
FAT	FOXN3
KRTAP5-1	STARD3NL
TAF9	TSC22D2
CEP72	SCN7A
NAB1	TCF4
SNX24	FEM1A
LINC00519	PRUNE
KXD1	HIST2H2BC
GPATCH2L	CCT5
ADAM6	ACADS
CEP57	ABCB8
LCAT	TIGD4
KCNC1	ZNF518A
EFHD2	LPA
PDC	STT3B
STRADA	NPAS4
PUM2	SPIN2A
TCEAL8	INTS4
GOLGA8O	KRTAP9-6
STOX1	CHPF2
TEX40	SNORA56
SCNN1A	KMT2A
SLU7	TMPRSS6
NT5DC4	CNEP1R1
EIF1AY	GRWD1
MTFR1	SLC43A3
LINC00939	COL15A1
LINC01077	DDC
M6PR	TTLL1
EGLN3	ACPL2
KATNAL2	FUBP3
ZNF316	IGF2BP1
LINC01059	RAVER1
ZNF518B	ZNF251
FGS3	HEATR1
WWC1	GCC2
KCNH8	CDKL2
C14orf153	ZNF718
LINC00657	SORBS3
DISC2	OPN1MW
SNORD2	RAB11FIP1
CEP41	HHEX
ROBO4	C10orf95
OPA5	SP4
HAS3	CBX5
MAGEE1	MT-ATP8
TRNAA1	LINC00908
JAG2	STK10
DNAJC3	C1orf131
NSG1	OR4C16
PTH2R	SLC38A2
GET4	SART1
CSF1R	NTN3
CLDN20	XRCC8
P2RX5	PRUNE
SNED1	EXOC3L
NOVA2	RUFY1
COMMD10	NUBP1
SEC22B	DMTF1
B4GALT4	TMEM245
INVS	MRGPRX1
SNORD16	OPN1MW2
TMEM194B	RBPJL
APOBEC3G	FOXM1
HS3ST6	WDR25
LEMD2	CDC42SE2
GRPEL1	SPATA4
DPP3	METAP1
TOMM20L	OR5D13
SDSL	RGP1
LINC00703	FAF2
ATOH8	CYB5R1
WEE1	SH2B2
PIEZO2	TRIM29
EIF1B	LINC00385
DUSP16	MCHR1
CCV	SLC17A5
C11orf31	KNTC1
CLDN18	PECAM1
EFNA1	CYP2S1
HNRNPCP5	LARS2
CHRM1	LINC00664
CCL19	NMU
MYO5A	OR1A2
HDAC6	CTS1
DHX36	C1orf111
DCLK2	KBTBD2
FCGR1B	C19orf60
PBX4	EFTUD1
EVL	RPL5
SHROOM1	STXBP5
MPG	DCUN1D5
TUBGCP2	MRX56
PAX1	ELSPBP1
OR8A1	CDK4
RARG	SYNPO
KIAA0415	LYPD6
ZNF69	ZNF226
LINC00935	TMEM208
TOMM20L	MIR204
CXorf38	LINC00652
CARM1	CYP3A5
FAM105A	DNAJC6
FAT	CACNG8
MPZL2	KIF22
MRC1	RBM15B
MBOAT1	ZBTB2
EGFLAM	CREB3L1
FKTN	SPRY1
OPA4	NEFM
MED15	RELN
OR2C1	PHPT1
RHAG	TCP1
MTSS1	MCM5
FIGN	GCFC2
FMO3	DHRS12
DIS3L	PIK3R1
LRRC14	TAB1
ATP1B4	EPS8L3
LINC01014	ASPRV1
FRA1C	UTP14A
OR1E2	CHRD
IFT57	CCL17
TUSC3	NTSR1
C12orf4	OR2G3
MAGEA4	IGKV4-1
DNAAF2	PHOX2B
DPYS	C4orf21
RAB34	TAS2R13
EVI5	CLMN
LRRC4C	BSN
ROBO4	GALNT13
LSR	WDR89
CCDC26	TEN1
SRD5A2	DCAF15
EFHC1	STH
TACR3	IZUMO1
JPH1	ITSN2
ISYNA1	HDAC11
PIN1P1	ELAVL3
KIF3C	NOD1
MYOM3	FAM35A
TRIM52	HAS3
NXNL1	GNB1
ARF6	SLC31A2
MAGEB6	LINS
PDE8B	LRRC75A-AS1
DPM3	LAMA2
METTL21B	TNFAIP8L1
KLHDC3	FAM208B
ALOXE3	UBA5
SLC28A2	TNFRSF10A
MYRF	TIMM9
ZNF532	ZNF493
TXN	TMEM192
BOD1L1	ZP3
TSPAN5	TCF23
CNOT8	FHIT
RTDR1	ZNF121
OR1B1	LCT
NOL12	URI1
TAAR5	TADA3
EIF2C4	RND1
OR10P1	MPPED2
SPIRE1	CTSB
ARAP1	EVA1A
CHRNA7	PRSS16
NT5DC3	RAPGEFL1
ZNF419	ARF5
DIS3L	NUDT13
MDN1	OR13D1
C19orf43	FOLH1
ELP2	KCND3
PARP2	DPPA5
FAM45B	LINC00254
ZNF419	OLIG2
RANBP17	XYLT1
C3	MAPK3
LIPA	ORC2L
ZNF251	TRMT44
HCG22	HIST2H2AA3
FPR3	HTC2
ASGR2	SFTPC
STAC	BICD1
C9	STARD3NL
SLC7A5	ENO4
FAM199X	KRTAP6-3
IFT57	SLC25A47
RASGRF2	PLA1A
PLBD2	CCDC138
TSPEAR	CHRNA3
DCP2	AVP
SLC13A3	FANCB
SPG23	WDR62
ELOC	QRFP
RPP25	RAI2
SYCE2	LMX1A
LINC00858	STYXL1
TUBB2C	ARMCX3
ACPP	C1orf204
LRRTM4	SUPT7L
SLC25A10	C11orf2
OR2T4	MSRB3
PDILT	TARP
VPS33B	MTA1
GLG1	USP12P1
SNX8	PRODH
INS-IGF2	EPB41L1
LINC00449	ERAP1
CCDC59	FIS1
OBP2A	LINC00645
SNORD16	NAT8L
F8A3	RFPL1
HMMR	SSU72
MTTP	LPCAT1
MCM10	HACE1
TRAPPC1	FAM184B
TRPC4AP	ANE1
FAM92A1	CLCA4
TNNI1	LCN12
LIMS1	SURF2
CXCR6	PTCH
LINC00472	SNORD8
DGKA	MUDENG
TGIF1	GMCL1P1
SKOR1	DOCK2
RPS23	WIPF3
LINC00622	C1orf168
LINC00690	MIR34B
TRAJ48	LCAT
FSD1L	UBE2NL
LINC00635	TNNI1
SSTR5	DZIP1L
PXK	E2F1
HIST2H2AB	ATBF1
GNG5	LY6D
GSE1	KCNT1
MIR193B	PAFAH1B1
TCTN1	LY6K
UBXN10	PSKH2
ZDHHC9	CCDC175
RDBP	MIR222
DBX1	TMOD1
KIF14	LRRK1
SLC25A38	DCR
EFCAB4A	IL17A
C22orf46	PRLH
FCGR2B	TRERF1
PPEF2	CDR1
SNAP23	LINC00846
CLOCK	NCDN
CCDC96	LINC00948
APAF1	OR6C75
CHCHD4	MRPL42
LHFPL2	DEFB108P1
CSRNP3	GUF1
SNORA27	ZNF224
SEC23B	CBLL1
MIB1	KLC3
SLC18A3	WASH3P
TRAM2	ZNF816
PKLR	VIPR1
DSG4	GRIP2
PEPC	TRAPPC3L
NAPB	FNDC3A
ABCC3	PHACTR2
ZDHHC16	QSOX2
MMP28	PRR16
METTL21C	SLC27A5
ANKRD55	FANCI
CDCP1	USP51
TLX3	SUN5
OIP5	C9orf40
GPR179	ANO7
TRD	FDFT1
WDR77	HYALP1
HNRNPUL2	SETMAR
BTG2	SURF6
MELK	SSBP3
USP9X	TBX19
LRP12	LINC00415
UBE2V1	PSMB3
NLRP7	GYS1
DIRAS2	TMSB4Y
HIBADH	UNC13D
BUB1B	DCAF4L1
ATP5EP2	HIST1H1D
RP52	UQCC
ACTL6A	FTX
PCDHB14	BTD
SCN1B	TRAP1
CTRC	EMC3
LINC00523	ZEB2
C14orf142	VPS18
OBFC2A	HOXA5
CNOT6L	FAN1
EIF1B	NCF4
RANGRF	MDH1
PTPRM	GYS1
ST3GAL2	HRH3
TMEM245	ERMAP
SLX4	HIST1H2AM
MORF4L2	AP4S1
DPP9	CCNDBP1
BEX1	GNPAT
CHN1	OR6C65
NELFCD	KRTAP5-8
ZNF410	MRPS11
KLRD1	C17orf53
CTGF	ANAPC10
CEP152	SUPT20HL2
THPO	FAM216A
GUK2	UCK2
TCEB1	MASP2
SSPN	WDR44
PPP1R9A	SPG45
PLAC9	LRCH4
RPL7A	ANKRD42
ARHGAP18	EMP1
PPFIA2	MTSS1
ATG5	FARP2
CD151	HSFY1
ERLIN2	TGFBI
GIMAP1-GIMAP5	DAZ1
CDS1	PLEKHA6
SNORD110	AHI1
ADRA2B	CDC26
GNG4	PLA2G12B
ENTPD6	SLC7A8
TNFRSF6B	COX7B
HIST1H2BN	CSNK1G1
YES1	CCDC7
KRT19	SMARCA4
DEAF1	CCDC28A
PPARA	UTP23
SRPRB	LINC00297
COQ10B	THNSL1
TAL1	KRT39
HOXC5	GFAP
KRTAP13-4	THEGL
CCDC42	FAM63A
WDR55	ANXA2
APOBEC3H	FOXL1
SIRPD	C1orf174
SNAP29	NAA11
CEP192	PRPH
RFX2	AK6
TMEM234	NEUROD4
RPA3	FBXL13
RGPD6	ZNF329
MBOAT7	RCVRN
EEF2	LDB3
MSSE	LGALS8
LINC00966	VASN
URGCP	UIMC1
RBL2	CCDC41
PDCD6	NELFE
FOXC1	SIGLEC14
NEUROG3	HNRNPAB
VAV3	SPATA31E1
UBL3	LINC00344
OPA5	PKD2
LCN1P1	TMEM126A
RITA1	HTR5A
POLA1	OR8D2
LINC00911	LINC00587
GPR107	MIR449A
ELAVL3	GABRG1
ART4	DNAH17
LGALS7B	FUT9
PREP	TRNAE1
PYCR1	ZMYM3
LSM12	HOXA7
ATP5I	KLC3
FGFBP3	RIPK3
ASB1	TTPAL
AHSA2	FAM21D
NEURL1B	ADAMTS15
AASS	DMD
SNORD86	UROD
MARK3	IGFBP6
SENP2	CNOT3
SS18	HOXB9
HRK	RUNX1T1
RNASEH1	HCST
KLRK1	GPR110
LINC00642	OR51M1
OLIG2	GRIN2C
RFK	SCFD1
C14orf4	TRIB3
PPP1R16B	CKM
SLC22A2	LUZP6
CIB2	IFNR
LINC00963	ARID5B
PYCARD	FIGF
SAMD1	PHF21B
A3GALT2	OR10G7
SLCO4C1	KISS1
HSD17B10	IGHMBP2
ATRIP	LINC00504
SPATA2	ZNF845
SLC2A9	CNNM2
ZNF436	KRT28
G2E3	GRIK5
UFC1	SEMA4C
LINC00618	GDI1
CENPN	CREB3L3
BAI3	FANCG
TIA1	ZC3H4
PRR22	CDK5RAP3
SELS	MANEA
MYO1A	MFAP5
SLC9A1	ABCB7
NTNG2	NDUFB4
CXCL5	MVK
PDC	CALML5
MRPL45	FRMD8
GABARAPL3	BBS7
OSTF1	VPS9D1
NEUROD2	BMPR1B
LINC00951	SIPA1L3
TAF9	PRRT2
CACNB2	PNPLA3
TSPY2	CDC37
CRABP2	RASAL2
DPCR1	CAPZA1
LAMB2	NADK2
KLHL41	MIR504
MUC3B	FBXL5
FSTL3	RNF217
KCNK5	LINC00462
HAS3	PMS2L1
NOX1	HCG27
NUDT11	THAP7
SHISA6	RNF146
JMJD4	HSPB6
CACNA1H	HRAS
CCDC64	KDELC1
ASPH	GGT1
CNAP1	PROC
OR1J4	GTF3C3
CBLL1	DIO2
FGFR2	UCHL5
P2RY1	MRX4
GRAMD2	RAB26
RNASEH1	MIR26A1
ACSM3	MIR150
XXYLT1	OXA1L
ZNF319	C3orf62
IL37	ALOX15
SPAG6	CBX3
BRMS1	CCDC88C
LINC00106	EBLN2
MSH3	NOTUM
TRA2B	HLA-DRB3
TMEM184C	MIR122
EIF3K	PHF23
GABRA5	SAG
C16orf62	INA
KCTD8	LAMTOR3
CD14	C7orf26
RAB33A	CD3G
SNORD90	NOX4
SAMD12	VKORC1L1
ZNF521	TSFM
CES5A	INO80
CCRL2	LCMT2
GPR85	RBM34
NKX3-1	DCAF11
REST	PIP4K2A
PLA2G6	MLC1
SPATC1	EFNA1
SNORD64	SYNJ2BP
BLMH	UBE4A
MED21	FKBP8
SNX25	EREG
COL22A1	SNORD52
FAM65A	STXBP5
ICR4	ASB10
COPZ1	ERVK-6
TUSC3	PVRL1
PDZRN4	HFE
KLHL20	PADI1
SCAR3	STX19
MMP26	CTSS
PEX5	SORBS1
CDC25C	CASP5
KIAA0174	SRSF3
TRPC2	ABCG4
TBCK	INTS7
TXNDC11	ZNF280A
IL17RA	ZNHIT1
OMA1	APCDD1
ZSCAN26	KLRC3
GLYCTK	AES
TMEM131	OR2W5
STX5	NSMCE2
OR4F15	GRIK5
HSPA1B	PRLH
EMILIN2	MIR143
SEMA3A	LIG3
UBASH3B	GNB2L1
POLR2M	DGCR2
SS18	B3GNT1
SH3D19	RDH8
TCF4	CYB561D2
STK11	TXLNA
GPS2	LINC00535
CYP2C8	SLC35B2
PIN1	RPP21
CRCT1	ANKS6
TDP2	CCR8
TRIM26	UPF3A
SYCP1	ADAMTSL4
SCAMP5	GMPPA
FAM161A	GNRHR
MEPE	LINC00265
IRX3	MAGEC2
EFEMP2	RIOK1
RSPRY1	LUC7L
RBM25	ZNF767
DEFB108P1	HGSNAT
NDUFB1	MARCH7
EOGT	LINC00967
GRB7	DRG1
DCUN1D1	SDF2
GALR1	ZNF431
CC2D1A	IER3IP1
TOP2A	ADK
WDR82	NDUFB10
GTF2IRD2	MT-ND2
UBE4A	HMGCS1
EVA1A	LGALS7B
ZIM2	SEMA3D
TADA1	SYCE1
CES1	LCN12
LILRA4	LINC00917
PRDX2	MTHFSD
PNN	ABLIM3
C6orf89	ZNF841
NOXA1	SLC5A1
LINC00492	H6PD
TBC1D3C	PHF5A
APBA1	COL8A1
KRTAP10-9	TRRAP
NUPR1	ASTN2
RINT1	TMEM61
NEURL1B	COX6A1
PPEF2	CD72
CKM	DDX58
PRB3	ZNF367
ILF3	PRC1
CD300LD	SGPP1
MSR1	PARP1
CD81	OR51M1
HIST1H2AM	HELB
STT3B	ARHGEF40
PLIN3	RTKN
KIAA2013	ADCYAP1
FERMT1	DPM1
SDE2	RAET1L
CDK7	MIR142
SPTLC3	ZNF383
CPSF3	FSTL5
RS1	GABARAPL1
MDM4	TPP2
CNTFR	HYI
PPFIA2	KIF19
ARRDC2	YAP1
RFX1	STXBP2
SIRT7	POLE
L1RE1	LIPH
ELF2	ZNF484
APOL4	FAM96B
LCN1	IDDM6
UNC50	TSPYL1
SMURF1	CRYZL1
EIF4E1B	SSFA2
ZNF321P	KDM5A
OR52N2	C3orf26
ETFA	TEX38
SKP1A	KNSTRN
SRSF2	BCL2L12
CCDC42	SPRR2B
RARB	TRAIP
SUSD4	SRP72
